Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts 1	Normalized Counts 1	RPKM 1	Expression 1	Raw Counts 2	Normalized Counts 2	RPKM 2	Expression 2	Raw Counts 3	Normalized Counts 3	RPKM 3	Expression 3	Raw Counts 4	Normalized Counts 4	RPKM 4	Expression 4	pValue 1 vs 2	qValue 1 vs 2	pValue 1 vs 3	qValue 1 vs 3	pValue 1 vs 4	qValue 1 vs 4	pValue 2 vs 3	qValue 2 vs 3	pValue 2 vs 4	qValue 2 vs 4	pValue 3 vs 4	qValue 3 vs 4	fold.change	log2.fold.change
233982	233955	232597	232597	-	mltD	b0211	putative membrane-bound lytic murein transglycosylase D	413	196180	96	144	994	485043	219	356	739	381181	177	280	674	342118	155	251	0.1817912169846456	1.0	3.3666302378463087E-6	2.829193628968298E-4	0.34304837290285267	1.0	0.886918115758094	1.0	0.39003758228907515	1.0	0.46644543877848665	1.0	0,5146636375	-0,9582982394
4467485	4467625	4470321	4470375	+	mgtA	b4242	magnesium transporter	860	407916	101	151	812	396611	90	147	1691	871918	204	323	263	133723	30	49	0.48771042471765613	1.0	7.746049824301054E-7	7.617498359131802E-5	0.015434196120157647	0.3549097237182519	0.03636287496017592	1.0	0.787369604961096	1.0	5.008408384617062E-13	9.259545421480025E-11	0,4678375719	-1,0959203662
696939			696865	-	glnU	b0670	Gln tRNA	305	144909	1291	1932	623	304364	2498	4058	609	314094	2654	4187	448	227186	1871	3029	0.7670090025271132	1.0	1.953565132248729E-8	2.655699423898125E-6	0.37949633967978125	1.0	0.41353589894996834	1.0	0.5300483756556175	1.0	0.19512877271247822	1.0	0,4613555178	-1,1160491836
4175472			4175556	+	tyrU	b3977	Tyr tRNA	173	82435	648	969	601	293683	2127	3455	347	179005	1334	2105	246	125102	909	1471	0.7249322619108259	1.0	4.018726928944971E-6	3.2586940115059045E-4	0.5423626917612295	1.0	0.3732299225556809	1.0	0.6254276575314772	1.0	0.31701501967821166	1.0	0,4605178626	-1,118670978
	1760523	1759303		-	sufS	b1680	cysteine desulfurase, stimulated by SufE; selenocysteine lyase, PLP-dependent	20	9549	5	7	39	19361	9	15	46	23937	12	19	69	35328	17	28	0.6158389037503522	1.0	3.3819002755064406E-6	2.829193628968298E-4	0.2592430272159462	1.0	0.493246297534079	1.0	0.3319408488162918	1.0	0.36761924080605896	1.0	0,3989221707	-1,3258207893
	2368039	2370021		+	arnA	b2255	fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase	34	16313	5	8	43	21415	6	10	83	42913	13	21	46	23538	7	11	0.5480404641545672	1.0	3.7065323840034615E-7	4.0789506378247614E-5	0.8732993402510011	1.0	0.6893449677722487	1.0	0.4458726558224829	1.0	0.07264024075039889	1.0	0,3801412159	-1,3953926403
	2479202	2480530		+	dsdA	b2366	D-serine dehydratase	17	8528	4	6	33	16122	7	12	46	24065	11	18	32	16551	7	12	0.6070441431618088	1.0	3.5730704026174305E-7	4.02798326851165E-5	0.05986742680689613	1.0	0.5507550642132371	1.0	0.4669879766415673	1.0	0.25600052894956143	1.0	0,3543735716	-1,4966570801
3258012	3258010	3256679	3256679	-	yhaO	b3110	putative transporter	33	16082	8	12	243	119043	55	89	100	52018	24	39	253	128616	59	96	7.033896786341225E-4	0.033516155614916644	3.778629914170662E-11	8.7324137316484E-9	1.7609904973236916E-5	0.0012919520759730322	0.6371178792399524	1.0	0.4689257613675491	1.0	0.2704510825007509	1.0	0,3091622131	-1,6935640962
578552			578467	-	-	predicted RNA	antisense: rzoD rzpD	47	22648	176	263	107	52548	376	611	147	76220	561	886	80	40653	292	472	0.6953018138667811	1.0	1.605924061671554E-9	2.854838851171509E-7	0.7452629404755758	1.0	0.17194381221581198	1.0	0.5153081555133313	1.0	0.33925719981607816	1.0	0,2971398583	-1,7507859538
	2801348	2803492		+	nrdE	b2675	ribonucleoside-diphosphate reductase 2, alpha subunit	29	14146	4	6	49	24227	6	11	96	49899	14	23	41	20932	6	9	0.560721903064465	1.0	1.144868805661012E-13	3.5277224131767985E-11	0.7962892166156234	1.0	0.16949678732952703	1.0	0.5023158159431729	1.0	0.015221658238878251	0.4648225261948657	0,2834926552	-1,8186167371
3946957			3947032	+	trpT	b3761	Trp tRNA	2558	1213349	10672	15965	14614	7130929	57762	93828	8324	4290393	35778	56452	879	445992	3625	5868	1.5012733106744293E-6	1.3605657337131789E-4	1.5156545645550442E-7	1.7962449736854906E-5	0.006405414628539617	0.19869682156449736	0.12751615996236138	1.0	1.1258164909427947E-17	2.2624016613641728E-15	2.379692489719143E-16	5.788915098674672E-14	0,2828060273	-1,8221152269
	2803502	2804461		+	nrdF	b2676	ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein	8	4228	2	4	12	6173	3	6	35	18045	11	18	21	10959	7	11	0.5592402606210394	1.0	9.049840548135856E-8	1.1618989725967756E-5	0.20823311151808677	1.0	0.7458820306143978	1.0	0.3422151988903669	1.0	0.1865562266157578	1.0	0,2343031311	-2,0935518614
	2076308	2076754		+	yeeS	b2002	CP4-44 prophage; putative DNA repair protein	2	1317	1	2	25	12483	17	27	16	8711	12	19	1	704	0	1	5.630441227760364E-4	0.028915443727453777	8.56161947258722E-16	3.597436836572557E-13	0.5865492881884125	1.0	0.5415703096400347	1.0	3.205063146295784E-8	3.2919559693731365E-6	1.3266771725297331E-11	2.2710747746046027E-9	0,1511881529	-2,7255830004
	2074779	2076311		+	yeeR	b2001	CP4-44 prophage; putative membrane protein	12	5953	2	3	109	53347	21	34	142	73428	30	47	11	5824	2	3	6.887508022720688E-5	0.004421397511252086	6.277800429949076E-113	1.4507996793612315E-109	0.6507263046921373	1.0	0.19898393952826213	1.0	7.318684106216773E-5	0.0049024576723092645	1.1038502374523834E-60	1.0203991595009833E-57	0,0810726154	-3,6246415055
	2071539	2074658		+	flu	b2000	CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter	84	39976	8	12	906	442497	87	141	1272	655934	133	210	83	42491	8	13	8.92499480237577E-6	7.112297582169104E-4	1.0350036404345139E-105	1.5945956086961077E-102	0.35205576727258453	1.0	0.2385431963513129	1.0	1.375613550244452E-9	1.5507526412755748E-7	2.8620229741938857E-65	3.307067546681035E-62	0,0609451561	-4,03634463
2074659			2074672	+	-	predicted RNA	-	0	335	16	23	3	1748	76	124	10	5569	252	397	0	295	13	21	0.8256800604318246	1.0	1.2368276775021025E-9	2.286647010165887E-7	0.5292318612308352	1.0	0.5775128684187295	1.0	0.061598219525384516	1.0	0.0042764094705871935	0.18646759031183024	0,0601544263	-4,055185292
2071315			2071518	+	isrC	b4435	-	0	375	1	1	18	9182	27	45	23	12340	38	60	0	401	1	1	9.337477328338873E-5	0.0058321378664300365	5.2233962744291275E-53	4.828507516082285E-50	0.44870194136446734	1.0	0.4232296660850689	1.0	3.661481927721861E-12	4.977461608803071E-10	5.325364440045691E-26	2.4613834441891183E-23	0,0303889789	-5,0403079887
