"Transcription.Start"	"Transcription.Stop"	"Translation.Start"	"Translation.Stop"	"Strand"	"Name"	"Synonym"	"Normalized.Counts.1"	"Normalized.Counts.4"	"Expression.1"	"Expression.4"	"pValue.1.vs.4"	"qValue.1.vs.4"	"logNormalized.Counts"
NA	1286526	1285849	1286526	"+"	"narI"	"b1227"	7554	123869	11	182	7.54253715031717e-08	9.96045905964742e-06	4.03543058344968
NA	3496905	3496551	3496877	"+"	"nirD"	"b3366"	9417	154176	28	471	8.55340570177671e-10	1.46421633902267e-07	4.0331668639352
1279807	NA	1279864	1283607	"+"	"narG"	"b1224"	224506	3587730	59	958	2.1833224446936e-31	1.68188605656231e-28	3.99824541504908
2300260	NA	2300260	2299565	"-"	"napG"	"b2205"	10945	137681	15	197	6.06866818298768e-07	5.96795411527001e-05	3.65298562143132
NA	2854337	2853254	2854264	"+"	"hypE"	"b2730"	10919	136498	10	135	7.72720315408197e-07	7.44065270378477e-05	3.64396717221106
2352620	NA	2352647	2354275	"+"	"glpA"	"b2241"	36426	432927	22	265	2.61772543092172e-13	6.04956347086009e-11	3.57108329458891
322328	NA	322338	323765	"+"	"ykgF"	"b0307"	30584	351239	21	245	4.40749309731367e-10	8.14857323831351e-08	3.52160403374299
NA	NA	4352908	4353081	"+"	"yjdO"	"b4559"	329	3761	1	21	9.08453218491417e-07	8.5691240323823e-05	3.51495681730506
1277932	1279374	1277957	1279348	"+"	"narK"	"b1223"	88823	983420	63	706	3.39235139632471e-23	1.1199605824152e-20	3.4688024915038
321483	322327	321608	322327	"+"	"ykgE"	"b0306"	20554	218136	28	302	3.71668437860217e-06	0.000312336639961804	3.40773679606336
NA	NA	2852136	2853257	"+"	"hypD"	"b2729"	17604	185420	15	165	1.16718846152954e-09	1.9266946675677e-07	3.396821684145
NA	2300261	2302753	2300267	"-"	"napA"	"b2206"	73195	737068	29	296	1.23156538640354e-17	3.16238623108731e-15	3.33198071928534
NA	4614671	4615543	4614680	"-"	"yjjW"	"b4379"	18940	189188	21	218	1.47165350143412e-06	0.000128339292143934	3.32031234699975
2303575	NA	2303497	2303003	"-"	"napF"	"b2208"	13501	134209	27	271	6.58174974394518e-06	0.000524497367526114	3.31334324658429
3493987	NA	3494011	3496554	"+"	"nirB"	"b3365"	138362	1361480	54	535	3.90802775081694e-11	7.52621011011495e-09	3.29865611148998
NA	3542978	3542728	3542964	"+"	"feoC"	"b3410"	15397	151450	64	639	1.84503345021466e-07	2.13193615172304e-05	3.29812039396697
940922	943403	940959	943403	"+"	"dmsA"	"b0894"	48616	460402	19	188	6.4050052803605e-12	1.2983085938242e-09	3.24339099848573
3100751	3099656	3100728	3099682	"-"	"ansB"	"b2957"	50223	471291	47	450	6.17974666034887e-12	1.2983085938242e-09	3.23019801756928
4617093	NA	4617065	4615515	"-"	"yjjI"	"b4380"	62480	397781	40	256	1.30028462325605e-05	0.000985232053883521	2.67050800893052
NA	4379775	4380517	4379783	"-"	"frdB"	"b4153"	79708	475926	108	647	1.05878005563378e-06	9.59545375909669e-05	2.57794083696222
49799	50318	49823	50302	"+"	"folA"	"b0048"	37025	25151	77	52	0.132386836188905	0.997509613602838	-0.557883973003804
NA	2149026	2147674	2149026	"+"	"yegD"	"b2069"	76264	19868	56	14	9.67321287735911e-06	0.000757789659646675	-1.94055554963026
3411258	3411592	3411271	3411567	"+"	"fis"	"b3261"	147853	37998	497	127	4.78289281558624e-07	4.80576752035643e-05	-1.96016812629606
NA	NA	1523065	1520963	"-"	"yncD"	"b1451"	124222	30948	59	14	2.16703423126879e-07	2.44293468705472e-05	-2.00500261670048
2259681	2259535	NA	NA	"-"	"-"	"predicted RNA"	99084	23876	674	162	1.5412311611836e-07	1.82655651974118e-05	-2.05309095215142
2724155	2724106	NA	NA	"-"	"-"	"predicted RNA"	24571	5782	491	115	1.441641642076e-07	1.75349149201981e-05	-2.08731606032448
2928107	2928154	NA	NA	"+"	"-"	"predicted RNA"	19698	4627	410	96	1.01296371614368e-06	9.36383659203222e-05	-2.08990015172884
2261410	2259714	2261410	2259719	"-"	"fruA"	"b2167"	1878358	439815	1110	259	6.24088819436572e-06	0.000506059390076462	-2.09450334170743
1215475	1214264	1215475	1214264	"-"	"bluF"	"b1163"	96015	22432	79	18	9.56752214235738e-08	1.22836353727711e-05	-2.09770155486357
2929535	2929565	NA	NA	"+"	"-"	"predicted RNA"	55927	12741	1804	411	5.04459658650911e-06	0.000416359382550806	-2.13406642976464
2263588	NA	2263495	2262365	"-"	"fruB"	"b2169"	1445594	324926	1278	287	1.1009382273767e-05	0.000848089414489182	-2.15347932807232
NA	NA	755560	755907	"+"	"sdhD"	"b0722"	322839	71235	927	204	1.49087960892518e-06	0.000128339292143934	-2.18015670936122
NA	NA	1181725	1181264	"-"	"ymfA"	"b1122"	19059	4155	41	8	2.375511335221e-07	2.55339846311429e-05	-2.19755204286424
29618	30799	29651	30799	"+"	"carA"	"b0032"	325599	70192	283	61	1.36426413038668e-07	1.70422400287763e-05	-2.21371775213336
NA	1117859	1116807	1117859	"+"	"yceA"	"b1055"	98063	21066	93	20	8.87947751856777e-09	1.32390145454259e-06	-2.21879249600718
755177	NA	755177	755566	"+"	"sdhC"	"b0721"	270587	57740	693	148	2.10797396524918e-08	2.86560460805345e-06	-2.22844951588862
NA	876710	878035	876710	"-"	"rimO"	"b0835"	98011	20200	73	15	3.28123263903943e-09	5.05528575254675e-07	-2.27858838232091
4431312	4431361	NA	NA	"+"	"-"	"predicted RNA"	12822	2641	256	52	1.38770113841557e-06	0.000123345281956861	-2.27946510721387
NA	2261423	2262365	2261427	"-"	"fruK"	"b2168"	1335965	271707	1422	289	4.57354098564942e-07	4.69753476348258e-05	-2.29775857279203
1925307	1925258	NA	NA	"-"	"-"	"predicted RNA"	7020	1331	140	26	4.10724025107021e-07	4.31446919101057e-05	-2.39896045928003
3851092	3850802	3851092	3850802	"-"	"ilvN"	"b3670"	62743	11501	215	39	6.57621595573221e-10	1.16904885182286e-07	-2.44769520453568
1434415	1434371	NA	NA	"-"	"-"	"predicted RNA"	14870	2697	330	59	1.26312406728009e-08	1.82442482467768e-06	-2.46297722070418
3636126	3636077	NA	NA	"-"	"-"	"predicted RNA"	13678	2422	273	48	1.70078577371711e-08	2.38213086246075e-06	-2.49758652433166
4409098	4409147	NA	NA	"+"	"-"	"predicted RNA"	16069	2824	321	56	1.75632754903884e-09	2.79922273505431e-07	-2.5084681568264
2261422	2261411	NA	NA	"-"	"-"	"predicted RNA"	27733	4085	2311	340	1.51556664021905e-16	3.68681526899602e-14	-2.76319570397278
1348935	1348913	NA	NA	"-"	"-"	"predicted RNA"	7856	993	341	43	3.47692901113191e-12	7.65255518545319e-10	-2.98392930678632
NA	NA	1961972	1962460	"+"	"yecT"	"b1877"	9253	1056	18	2	1.08033884807818e-17	2.93725067989256e-15	-3.13131135616747
NA	4410006	4409275	4410006	"+"	"rlmB"	"b4180"	155031	17234	211	23	1.59145535875793e-30	9.19463333522395e-28	-3.16922723155239
2931006	2931033	NA	NA	"+"	"-"	"predicted RNA"	8752	781	312	27	5.14288565475714e-18	1.48565109351797e-15	-3.48621828465058
4406646	4409095	4406654	4409095	"+"	"rnr"	"b4179"	1820185	119988	745	49	5.57823638550562e-50	6.44565214345174e-47	-3.92312305631569
